category,city,country,created_on,description,email,facebook,fax,houseno,id,lat,lon,name,name_ascii,opening_hours,phone,postcode,promoted_until,src_id,state,street,twitter,updated_on,website
atm,Penzance,GB,1465943680.000000,"One-way Bitcoin ATM located in 'One And All' Pub, 200ft from Penzance train station",contact@cryptodechange.com,cryptodechange,,3,8225.000000,50.122064,-5.532898,One And All,One And All,,,TR18 2TD,,,Cornwall,East Terrace,cryptodechange,1465943680.000000,https://www.cryptodechange.com
default,Helsinki,FI,1397211665.000000,,,,,6,42.000000,60.160534,24.939049,Belle Modeste,,,+358 44 0737 001,00180,,osm_node_310973848,,Ruoholahdenkatu,,1477056243.000000,http://www.bellemodeste.com/
grocery,Oak Bay,CA,1394219130.000000,,,,,2577,15.000000,48.437747,-123.312411,Slaters Meats,,,(250) 592-0823,,,osm_node_280366496,British Columbia,Cadboro Bay Road,,1433782794.000000,http://slatersmeats.com/
default,,CZ,1422120857.000000,,,,,393/55,33.000000,50.065833,14.358897,kaktusy eshop,,,+420607073070,15000,,osm_node_296816989,,Nad zámečkem,,1435163403.000000,http://www.kaktusy.cz/eshop
food,London,GB,1370785480.000000,,,,,90,3.000000,51.549378,-0.059379,Pembury Tavern,,,+44 20 8986 8597,E8 1JH,,osm_node_27466108,,Amhurst Road,,1433782790.000000,http://www.individualpubs.co.uk/pembury/
shopping,,FI,1417878506.000000,,,,,26,4.000000,60.445686,22.281812,Tietokonekauppa,,"Mo-Fr 10:00-18:00, Sa 11:00-15:00",,20700,,osm_node_32928873,,Itäinen Pitkäkatu,,1433782791.000000,http://www.tietokonekauppa.fi/
lodging,,DK,1365921482.000000,,,,,,5.000000,54.837024,11.486206,Bandholm Hotel,,,,,,osm_node_35675363,,,,1433782791.000000,http://bandholmhotel.dk/
default,,US,1386794770.000000,,,,,,8.000000,39.261575,-121.016567,SierraHosts.net,,,,,,osm_node_89910245,California,,,1433782792.000000,http://sierrahosts.net
nightlife,Helsinki,FI,1398852994.000000,,,,,23,7.000000,60.169775,24.927098,Helkan Baari,,,,00100,,osm_node_76615072,,Pohjoinen Rautatiekatu,,1433782792.000000,
default,,US,1389447527.000000,,,,,,10.000000,39.714651,-104.936268,Costa Rica Travel Market LLC,,,1.888.831-1811,,,osm_node_176105687,Colorado,,,1433782793.000000,http://www.costaricatravelmarket.com
attraction,Praha 7,CZ,1419019534.000000,,,,,460/15,9.000000,50.099958,14.429952,Bio Oko,,,+420 233 382 606,17000,,osm_node_144033716,,Františka Křížka,,1433782792.000000,http://www.biooko.net/
shopping,,US,1409879886.000000,,,,,,12.000000,42.362679,-71.086398,MIT Coop,,,617.253.1000,,,osm_node_269794193,Massachusetts,,,1433782793.000000,http://web.mit.edu/thecoop/
default,"Chennai, Tamilnadu",IN,1388228457.000000,,,,,,11.000000,13.052391,80.250756,SurajShkathi,,,+91 9444088258,,,osm_node_247686095,,,,1433782793.000000,http://surajshakthi.com/
food,,DE,1418632929.000000,,,,,,13.000000,52.367957,9.720816,The Harp,,,,,,osm_node_270376208,,,,1433782794.000000,
food,,DK,1402145582.000000,,,,,,14.000000,55.678645,12.578942,The Dubliner,,,,,,osm_node_279471686,,,,1433782794.000000,
default,,US,1385666967.000000,,,,,,6.000000,37.770518,-122.450413,Deborah Hodgson Vamp Couture,,,,,,osm_node_65346059,California,,,1433782791.000000,https://sites.google.com/site/stylinpartygirl
food,Peterborough,GB,1370785039.000000,,,,,5,16.000000,52.562134,-0.245751,Coalheavers Arms,,,+44 1733 565664,PE2 9BH,,osm_node_282343010,,Park Street,,1433782795.000000,http://www.individualpubs.co.uk/coalheavers/
lodging,,ZW,1417043002.000000,,,,,,17.000000,-17.825695,31.046915,Monomatapa Hotel,,,,,,osm_node_282945088,,,,1433782795.000000,
